en_word,vn_word
Agustin,A-gớt-stin
Arevalo,a-rê-va-lô
Arriba Espana,a-ri-ba es-pa-na
Andres,An-đrêts
Angustin,An-gớt-stin
Anselmo,An-sên-mô
Barco de Avila,ba-cô-đê a-vi-la
Blouson,blu-sơn
Borracho,bô-ra-chô
Buitrago,bui-tra-gô
carl,các
cope,cốp
Gente,dên-tê
donfaustino,đông-phau-ti-nô
Eladio,e-la-đi-ô
El Sordo,en-sao-đô
Estramadure,es-tra-ma-đu-ra
gypsy,ghíp-si
Golz,gôn-dơ
gondor,gôn-dơ
Guapa,guê-pa
Hombre,hôm-brê
La Granja,la-gran-da
Lewis,lê-guýt
Lo sabes,lô-sa-bes
madrid,ma-đris
Mosca,mốt-ca
Mujer,mu-dơ
Novio,nô-vi-ô
paella,pa-ê-la
Pablo,pa-plô
Pueblo,pa-plô
faustino,phau-ti-nô
Fernando,phes-nan-đô
Pilar,pi-la
pritimivo,pri-mi-ti-vô
Pues nadas,pu-es na-đas
Puenas,puê-nas
Qué va,quê-va
Quevedo,quê-vê-đô
Rafael,ra-pha-en
Primitivo,ri-mi-ti-vô
rimitivo,ri-mi-ti-vô
Robert Jordan,rô-bớt rooc-đan
Ségovie,sê-gô-vi-a
Senorita,sê-nô-ri-ta
Tonto,tôn-tô
Valladodid,va-la-đô-đis
Vamonos,va-mô-nốt
Vamos,va-mốt
Vamos a ver,va-môt-a-vơ
jordan,rooc-đan
pamplona,pam-plô-na
whisky,uýt-ky
latin,la-tinh
vodka,vốt-ka
escurial,es-cô-ri-an
elias,ê-li-as
